Box,Id,Type,Title,Author,Author2,Date,Location,Nb,People,Geo
4,350,Letters,Carta del 26 de octubre de 1860 de Juan Avello a Mauricio Barbosa,"Avello, Juan",,1860/10/26,Chile;Octava Región;Santa Juana,1,"Barbosa, Mauricio",
4,351,Letters,Carta del 28 de octubre de 1860 de Vicente Villalón a su amigo Mauricio Barbosa,"Villalón, Vicente",,1860/10/28,Chile;Octava Región;Los Ángeles,1,"Barbosa, Mauricio",
4,352,Letters,Carta del 27 de octubre de 1860 de Cornelio Saavedra a su amigo Mauricio Barbosa,"Saavedra, Cornelio",,1860/10/27,Chile;Quinta Región;Valparaíso,1,"Barbosa, Mauricio",
4,353,Letters,Carta del 27 de octubre de 1860 de Vicente Pérez Rosales a Mauricio Barbosa,"Pérez Rosales, Vicente",,1860/10/27,Chile;Octava Región;Lota,1,"Barbosa, Mauricio",
4,354,Letters,Carta del 30 de octubre de 1860 de Vicente Villalón a su amigo Mauricio Barbosa,"Villalón, Vicente",,1860/10/30,Chile;Octava Región;Los Ángeles,1,"Barbosa, Mauricio",
4,355,Letters,Carta del 30 de octubre de 1860 de Vicente Villalón a su amigo Mauricio Barbosa,"Villalón, Vicente",,1860/10/30,Chile;Octava Región;Los Ángeles,1,"Barbosa, Mauricio",
4,356,Letters,Carta del 30 de octubre de 1860 de Vicente Pérez Rosales a Mauricio Barbosa,"Pérez Rosales, Vicente",,1860/10/30,Chile;Octava Región;Concepción,1,"Barbosa, Mauricio",
4,357,Letters,Carta del 30 de octubre de 1860 de Vicente Pérez Rosales a Mauricio Barbosa,"Pérez Rosales, Vicente",,1860/10/30,Chile;Octava Región;Concepción,1,"Barbosa, Mauricio",
4,358,Letters,Carta del 31 de octubre de 1860 de Vicente Villalón a Mauricio Barbosa,"Villalón, Vicente",,1860/10/31,Chile;Octava Región;Los Ángeles,1,"Barbosa, Mauricio",
4,359,Letters,Carta del 01 de noviembre de 1860 de Manuel Segundo Escala a Mauricio Barbosa,"Escala, Manuel Segundo",,1860/11/01,Chile;Octava Región;Concepción,1,"Barbosa, Mauricio",
4,360,Letters,Carta del 02 de noviembre de 1860 de José María Carrillo a Mauricio Barbosa,"Carrillo, José María",,1860/11/02,Chile;Guilañanen,1,"Barbosa, Mauricio",
4,361,Letters,Carta del 04 de noviembre de 1860 de José María Carrillo a Mauricio Barbosa,"Carrillo, José María",,1860/11/04,Chile;Octava Región;Quiapo,1,"Barbosa, Mauricio",
4,362,Letters,Carta del 08 de noviembre de 1860 de José Antonio Quezada a Mauricio Barbosa,"Quezada, José Antonio",,1860/11/08,Chile;Octava Región;Arauco,1,"Barbosa, Mauricio",Arauco
4,363,Letters,Carta del 10 de noviembre de 1860 de Vicente Villalón a Mauricio Barbosa,"Villalón, Vicente",,1860/11/10,Chile;Octava Región;Los Ángeles,1,"Barbosa, Mauricio",
4,364,Letters,Carta del 10 de noviembre de 1860 de Vicente Villalón a Mauricio Barbosa,"Villalón, Vicente",,1860/11/10,Chile;Octava Región;Los Ángeles,1,"Barbosa, Mauricio",
4,365,Letters,Carta del 10 de noviembre de 1860 de José Sepúlveda a Mauricio Barbosa,"Sepúlveda, José",,1860/11/10,Chile;Octava Región;Nacimiento,1,"Barbosa, Mauricio",
4,366,Letters,Carta del 12 de noviembre de 1860 de Vicente Villalón a Mauricio Barbosa,"Villalón, Vicente",,1860/11/12,Chile;Octava Región;Los Ángeles,1,"Barbosa, Mauricio",
